d,adapter_rank,intrinsic_dim,noise_sigma,activation,replacement_method,replacement_rank,num_clusters,n_runs,epsilon_train_mean,epsilon_train_std,epsilon_test_mean,epsilon_test_std,r2_train_mean,r2_train_std,r2_test_mean,r2_test_std,teacher_student_fidelity_train_mean,teacher_student_fidelity_train_std,teacher_student_fidelity_test_mean,teacher_student_fidelity_test_std,activation_entropy_mean_mean,activation_entropy_mean_std,activation_entropy_std_mean,activation_entropy_std_std,activation_active_fraction_mean_mean,activation_active_fraction_mean_std,activation_active_fraction_std_mean,activation_active_fraction_std_std
256,16,4,0.0,gelu,bias_only,0,0,10,0.993768239195435,0.000897584661439397,0.993713623351422,0.0011759331883671603,1.1102230246251566e-17,1.0473823066688541e-16,-0.00035105578498051404,0.00017363570311938433,0.7474299999999999,0.06418617530278618,0.7456,0.0677028802932342,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,full_affine,256,0,10,0.15570927200600337,0.011769901114159372,0.15546066716498175,0.011853995485982677,0.9753030119606722,0.0038631535688685276,0.975366115551904,0.00390934868948517,0.963125,0.00965404707881623,0.96358,0.009505556269887621,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,lora_bias,1,0,10,0.7361422687099004,0.03665921416613426,0.7347904696876603,0.039646495149458144,0.44993365870677804,0.05410097462140763,0.4514851566048447,0.05820637662622296,0.809545,0.039380950026630904,0.81046,0.04184858898457628,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,lora_bias,2,0,10,0.5491961309983395,0.032769444902569334,0.5474578617764349,0.03458622429082322,0.6935288346194972,0.036557677257840766,0.6952039905169836,0.03812856229137192,0.850905,0.031293485344397166,0.8528600000000001,0.03345313737155307,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,lora_bias,4,0,10,0.15570927200600337,0.011769901114159372,0.15546066716498175,0.011853995485982677,0.9753030119606722,0.0038631535688685276,0.975366115551904,0.00390934868948517,0.963125,0.00965404707881623,0.96358,0.009505556269887621,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,lora_bias,8,0,10,0.15570927200600337,0.011769901114159372,0.15546066716498175,0.011853995485982677,0.9753030119606722,0.0038631535688685276,0.975366115551904,0.00390934868948517,0.963125,0.00965404707881623,0.96358,0.009505556269887621,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,lora_bias,16,0,10,0.15570927200600337,0.011769901114159372,0.15546066716498175,0.011853995485982677,0.9753030119606722,0.0038631535688685276,0.975366115551904,0.00390934868948517,0.963125,0.00965404707881623,0.96358,0.009505556269887621,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,lora_bias,32,0,10,0.15570927200600337,0.011769901114159372,0.15546066716498175,0.011853995485982677,0.9753030119606722,0.0038631535688685276,0.975366115551904,0.00390934868948517,0.963125,0.00965404707881623,0.96358,0.009505556269887621,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,lora_bias,64,0,10,0.15570927200600337,0.011769901114159372,0.15546066716498175,0.011853995485982677,0.9753030119606722,0.0038631535688685276,0.975366115551904,0.00390934868948517,0.963125,0.00965404707881623,0.96358,0.009505556269887621,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,low_rank_no_bias,1,0,10,0.7445628246705543,0.035918597669459464,0.743316637427241,0.038977162578580145,0.43735977779938473,0.053646104627928716,0.4387672522847484,0.057952582743970936,0.81128,0.040175335717327856,0.8135,0.040213157050895676,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,low_rank_no_bias,2,0,10,0.5604929670071591,0.031483327169966005,0.5587397106731576,0.03337684754058045,0.6809158188356221,0.03586312758870444,0.6826405757819448,0.03760689659184386,0.85031,0.03467899796706936,0.8524800000000001,0.03370545356466815,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,low_rank_no_bias,4,0,10,0.1915488902927857,0.013495104326738125,0.19132283020622018,0.013634342890332366,0.9626537937312024,0.005425180251258533,0.9627177222878813,0.005524215959400188,0.9632949999999999,0.009884038901178024,0.9641400000000001,0.009227372323689982,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,low_rank_no_bias,8,0,10,0.1915488902927857,0.013495104326738125,0.19132283020622018,0.013634342890332366,0.9626537937312024,0.005425180251258533,0.9627177222878813,0.005524215959400188,0.9632949999999999,0.009884038901178024,0.9641400000000001,0.009227372323689982,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,low_rank_no_bias,16,0,10,0.1915488902927857,0.013495104326738125,0.19132283020622018,0.013634342890332366,0.9626537937312024,0.005425180251258533,0.9627177222878813,0.005524215959400188,0.9632949999999999,0.009884038901178024,0.9641400000000001,0.009227372323689982,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,low_rank_no_bias,32,0,10,0.1915488902927857,0.013495104326738125,0.19132283020622018,0.013634342890332366,0.9626537937312024,0.005425180251258533,0.9627177222878813,0.005524215959400188,0.9632949999999999,0.009884038901178024,0.9641400000000001,0.009227372323689982,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,low_rank_no_bias,64,0,10,0.1915488902927857,0.013495104326738125,0.19132283020622018,0.013634342890332366,0.9626537937312024,0.005425180251258533,0.9627177222878813,0.005524215959400188,0.9632949999999999,0.009884038901178024,0.9641400000000001,0.009227372323689982,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
256,16,4,0.0,gelu,no_delta,0,0,10,1.0,0.0,1.0,0.0,-0.012583480829892645,0.0018298887866176217,-0.013052372099763,0.0025264221438999774,0.743465,0.06000177934861599,0.74226,0.06314896990450437,0.6931249318379596,9.18971629941405e-06,2.3459910746038295e-05,9.623958290625052e-06,0.49966875,0.0007649091040770757,0.003161841761239368,0.0006573434618848353
